,country,iso_code,totalCases,totalNewCases,new_cases_per_hundred_thousand_pop,estimate,lower,upper,population,propCurrentlyInfMid,propCurrentlyInfLow,propCurrentlyInfHigh
98,Nigeria,NGA,29189,5209,2.526928513,0.802910415,0.665699263,0.949469966,206139587,0.000063,0.000033,0.00013
99,North Macedonia,MKD,7080,1206,57.88670334,0.307045919,0.241178522,0.396138336,2083380,0.0038,0.0018,0.008
100,Norway,NOR,8653,115,2.121285122,0.677854961,0.271949147,0.998918957,5421242,0.000063,0.000027,0.00026
101,Oman,OMN,47251,10782,211.137617,0.991043291,0.950494431,1,5106622,0.0043,0.0026,0.0074
102,Pakistan,PAK,234479,31554,14.28478746,0.848117602,0.73908761,0.944964662,220892331,0.00034,0.00019,0.00064
103,Palestinian Territories,PSE,4085,2733,53.57336081,0.955106293,0.825653078,0.999999966,5101416,0.0011,0.00067,0.0022
104,Panama,PAN,39298,8676,201.0768598,0.489024929,0.407728431,0.58079089,4314768,0.0082,0.0043,0.016
105,Paraguay,PRY,2282,514,7.206419041,0.941932997,0.74909397,0.999999885,7132530,0.00015,0.00009,0.00032
106,Peru,PER,305665,29714,90.11930967,0.274768245,0.240467202,0.312304483,32971846,0.0066,0.0036,0.012
107,Philippines,PHL,46330,11530,10.52188888,0.282915687,0.230148511,0.338601301,109581085,0.00074,0.00039,0.0015
108,Poland,POL,36133,2441,6.449719863,0.558898836,0.428939978,0.714662067,37846605,0.00023,0.00011,0.0005
109,Portugal,PRT,44269,2940,28.8328379,0.898075507,0.694315347,0.999994428,10196707,0.00064,0.00036,0.0014
110,Puerto Rico,PRI,8585,1519,53.0962934,0.982799246,0.867618198,1,2860840,0.0011,0.00066,0.002
111,Qatar,QAT,98135,6682,231.9285263,0.927764869,0.577979547,0.999999999,2881060,0.005,0.0029,0.013
112,Romania,ROU,29198,3201,16.6392188,0.330237009,0.259842687,0.410516465,19237682,0.001,0.00051,0.0021
113,Russia,RUS,687769,60216,41.26235846,0.65684441,0.589539633,0.725009277,145934460,0.0013,0.00071,0.0023
114,São Tomé & Príncipe,STP,509,8,3.650284494,0.856561542,0.501502968,0.999982496,219161,0.000085,0.000046,0.00024
115,Saudi Arabia,SAU,213583,35212,101.1436046,0.746301067,0.594131263,0.923168854,34813867,0.0027,0.0014,0.0057
116,Senegal,SEN,7101,1019,6.085787506,0.554487197,0.375637296,0.78918597,16743930,0.00022,0.000096,0.00054
117,Serbia,SRB,16374,2628,30.07770073,0.379675304,0.271400805,0.515800686,8737370,0.0016,0.00073,0.0037
118,Sierra Leone,SLE,1492,132,1.654760539,0.791416893,0.372089819,0.999945759,7976985,0.000042,0.000021,0.00015
119,Singapore,SGP,44104,1737,29.69056686,0.950374207,0.750584524,0.999999985,5850343,0.00062,0.00037,0.0013
